Firm Name,Address,Nationality,Ineligible From, Ineligible Until,Notice Effective At EBRD,Originating Institution,Prohibited Practice
"Gezhouba Ecological Construction (Hubei) Co., Ltd.","Room 1-1, 1-3F, Building 16, Gezhouba Sun City No. 40 Gaoxin 4 Road East Lake New Technology Development Zone Wuhan City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Ecological and Environmental Protection (Jingmen) Co., Ltd.","Electronic Industrial Park No.9 Changxing Avenue Dongbao District Jingmen City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Energy Sales Co., Ltd.","No.1701 Quality Inspection Building No. 1311 Longao North Road High-tech Zone Jinan City Shandong Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group (Tibet) Construction Investment Co.,Ltd.","Room101,No.1, Block 57 Hailiang Centry New Town Liuwu New Area Lhasa Tibet","China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","Asian Development Bank","Fraudulent Practice"
"Gezhouba Group (Xiamen) Construction Investment Co., Ltd.","A1030, Unit 308, No. 16, Yunding North Road Huli District Xiamen People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Eco-environmental Protection Co., Ltd. ","No. 2, 37th Floor, Building 11 / Unit Gezhouba Urban Garden Phase II Qiaokou Road Qiaokou District Wuhan People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Logistics Co., Ltd.","2 Shiling Road Yichang City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Machinery & Ship Co., Ltd. of China","No.18 Xiaoting Avenue Xiaoting District Yichang City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Project Management Co., Ltd.","4-7 Floor, Building 11 Gezhouba City Garden Phase II No. 162 Qiaokou Road, Qiaokou District Wuhan City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Shimen Special Cements Co., Ltd.","No.28 Shuangqiao Road Xinguan Community Xinguan Town Shimen County Changde City Hunan Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group South China Construction Investment (Guangdong) Co., Ltd.","Room 358, Factory Building (Building B) Zhaoqing New Area Investment Development Co., LTD. Guicheng New Town North 8 District Dinghu District Zhaoqing City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Supply Chain Management Co., Ltd.","Floor 12, Building 11 Gezhouba Urban Garden Phase II No.162 Qiaokou Road Qiaokou District Wuhan People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Testing and Inspection Co., Ltd.","13 Qingbo Road Xiling District Yichang City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Transportation Investment Co., Ltd. ","No. 1, Floor 23, Building / Unit 11 Gezhouba Urban Garden Phase II No. 162 Qiaokou Road Qiaokou District Wuhan City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Group Xiong'an Construction Investment Co., Ltd.","1-135 Conference Center South Section of Baojin Expressway Xiongan District China (Hebei) Free Trade Test Area People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Hanchuan Handian Cement Co., Ltd.","New River Industrial Park Hanchuan Economic Development Zone People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Hanzhong Hongyanping Pumped Storage Co., Ltd.","Pangjiaba(Commercial Center) Jingyang Village Jingyang Street Office Zhenba County Hanzhong City Shaanxi Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Honghu Commercial Concrete Co., Ltd.","Tonghu Avenue Xinlian Village Luoshan Town Honghu City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Huaian Recycled Materials Co., Ltd.","No. 330 Yulan Avenue Economic Development Zone Xuyi County Huaian City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Huanjia (Dalian) Renewable Resources Co., Ltd.","Zhongge Village Gezhenbao Town Ganjingzi District Dalian City Liaoning Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Hubei Nanhe Hydropower Development Co., Ltd.","No.212 Chengguan Town East Street Baokang Country People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Hubei Xiangjing Freeway Co., Ltd.","No.171 Peigong Avenue Jingmen District High-tech Zone Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Internatioal Hong Kong Co., Ltd.","26/F, BEAUTIFUL GROUP TOWER 77 CONNAUGHT ROAD CENTRAL CENTRAL HK Hong Kong People's Republi of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Internatioal Russia Co., Ltd.","123112, Moscow Presnenskaya embankment 6 building 2, premises. 4306 Russian Federation","Russian Federation","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Investment Hong Kong Company Limited","2-1204 Kuangshi International Building Tianjin Pilot Free Trade Zone (Central Business District) (Tianjin Xinlong Commercial Secretary Co., LTD. No. 0382) People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Jiexin (Wuhan) Technology Co., Ltd.","Room 1, Floor 1-3, Building 15 Gezhouba Sun City East Lake High-tech Developmen Zone Wuhan City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Jingmen Cement Co., Ltd.","Jianquan Village Zilingpu Town Dongbao District Jingmen City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Jingzhou Building Materials Co., Ltd.","East Avenue Extension Jingzhou Development Zone People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Jizhong Construction Baoding Co., Ltd.","No. 31 Yukang Street Xianfeng Street Office Jingxiu District Baoding City Hebei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Laohekou Commercial Concrete Co., Ltd.","Fengying Village South Side of Mengtu Road Laohekou City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Lingang Yicheng Building Materials Co., Ltd.","Lingang Economic Zone Xiaohe Town Yicheng City Xiangyang City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Liulang Badong County Pumped Storage Co., Ltd. ","Chengcheng Building 30 Chaoyang Road Xinling Town Badong County People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Malaysia Co., Ltd.","Unit 19-11-1, Level 11 Office Suite, Wisma UOA Centre No.19, Jalan Pinang 50450, kuala Lumpur Malaysia","Malaysia","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Manasi River Power Development Co., Ltd.","63 Tuanjie Road Manas County Changji Prefecture Xinjiang People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Mandalay Cement Co., Ltd.","Mandalay City Mandalay Province Myanmar","Myanmar","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Mine Construction Engineering Co., Ltd.","No. 1, Floor 1-4, Unit 1-10 Building No. 8 Tongcheng Road Qingyang District Chengdu People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Mongolia Co., Ltd.","302, 3 rd Floor Shine Dul complex Narnii zam 99/A, 6 th khoroo Bayanzurkh District Ulaanbaatar Mongolia","Mongolia","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Municipal Engineering (Haikou) Co., Ltd.","A1Luneng Hainan coconut wind Phase II (plot 2) commercial Street Qiongshan Avenue 8 Meilan District Haikou City Hainan Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Municipal Engineering (Jiangmen) Co., Ltd.","Room 604, Building 2 Jiangmen Wanda Plaza Pengjiang District Jiangmen City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba New Energy (Tianjin) Co., Ltd.","2-1102 No.10 Ziyuehua Di, North of Huangshan Avenue East of East Ninghai Road Tanggu Ocean Science and Technology Park Binhai High-tec Area Tianjin People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Oil and Gas Engineering Co., Ltd.","Wennan Road Development Zone Qionglai City Chengdu People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Panama Co., Ltd.","Panama Province Panama District Bellavista District Marbella Urbanization Anastasio Ruiz Street Torre de Pacifico Building, 20A Apartments","Panama","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Papua New Guinea Co., Ltd.","Section 515, Allotments 8 &9 Waigani Drive HOHOLA National Capital District Papua New Guines","Papua New Guinea","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Power Investment Co., Ltd.","No.3-12, Building 10 No.8 Guangfu Road Qingyang District Chengdu People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Qianjiang Cement Co., Ltd.","No.131 Jingshi Road Zhangjin Town Qianjiang City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Scinor (Rizhao ) Environment Technology Co., Ltd.","No. 58, Hangzhou Road, Economic and Technological Development Zone Rizhao City Shandong Province (North of Shenzhen Road, East of Hangzhou Road) People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Shenzhen Engineering Construction Co., Ltd.","No. 11, Mingguan 1st Road Kengzi Street Pingshan New District Shenzhen People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Shenzhen Investment Construction Co., Ltd.","Unit 1303B-10, Zhengzhong Times Square Shangjing Community Longcheng Street Longgang District Shenzhen People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Shieli Cement Company LLP ","No.9, Sili Eastern Industrial Zone Kizilorda Sili District Kazakhstan","Kazakhstan","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Shishou Building Materials Co., Ltd.","No. 65 Chutian Avenue Economic Development Zone Bijiashan Street Shishou City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Songzi Cements Co., Ltd.","No.8 Luohe Avenue Liujiachang Town Songzi City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Supply Chain Management (Beijing) Co., Ltd.","63 Inside, 1001, 1002, 1003 Floor 10, Building 2, No.15 Guanghua Road Chaoyang District Beijing People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Trading (Hainan) Co., Ltd.","No.303, Floor 3, Zone E Fuxing, 32 Binhai Avenue Longhua District Haikou City Hainan Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Baoding) Co., Ltd.","Room 1910, Unit 4, Baoding Xinfeng International Decorative Home Plaza No. 999 North Second Ring Road Lianchi District Baoding City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Binzhou) Co., Ltd.","The East Beginning of the Yellow River Shisi Road East City Office People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Dazhou) Co., Ltd.","Section 3, Hedong Village Binlang Country Dazhou Economic Development District People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Dingzhou) Co., Ltd.","Dasitou Village Zhao Village Dingzhou City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Guannan) Co., Ltd.","No. 46, Renmin Middle Road, Xin 'an Town Guannan County Lianyungang City (Postal Savings Bank) People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Huanggang) Co., Ltd.","No.198 Huangzhou Avenue Huanggang City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Huantai) Co., Ltd.","North of Bozadian village Tangshan Town Huantai County Zibo City Shandong Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Jinan) Co., Ltd.","West of West Sea Park Wenhe Avenue Laiwu District Jinan City Shandong Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Jingmen) Co., Ltd.","Electronic Industrial Park No.9 Changxing Avenue Dongbao District Jingmen City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Lingbao) Co., Ltd.","Beitian village Chengguan Town Lingbao City Henan province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Qinyang) Co., Ltd.","Niezhang Village Xixiang Town Qinyang City Jiaozuo City Henan Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Qiyang) Co., Ltd.","Junction of Taojialing Village and Guangming Village Longshan Street Qiyang City Yongzhou City Hunan Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Taizhou) Co., Ltd.","Room 2102, Qingshang Building 806 Wanchang Middle Road Chengdong Street Wenling City Taizhou City Zhejiang Province(North Room) People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Tianjin) Co., Ltd.","Room 136-6, Building 6 Zhongding Creative Park Balitai Industrial Park Balitai Town Jinnan District Tianjin People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Xiangyin) Co., Ltd.","West Lake Fishing Ground Wenxing Town Xiangyin Country People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Yueyang) Co., Ltd.","East side of Furong Road Rongjiawan Town Yueyang County (Rongjia Group Rong Station Neighborhood Committee) People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water (Zhangjiakou) Co., Ltd.","No.57 Happiness Street Xuanhua District Zhangjiakou City Hebei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water Wenling Co., Ltd.","Room 2102, Qingshang Building No. 806 Wanchang Middle Road Chengdong Street Wenling City Taizhou City Zhejiang Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water Zibo Boshan Co., Ltd.","Bojizhang Village Baita Town Boshan District Zibo City Shandong Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Water Zibo Zichuan Co., Ltd.","East of Xiaotun village Shuangyang Town Zichuan District Zibo City Shandong Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Wuhan Road Materials Co., Ltd.","Building 17, Gezhouba Sun City No. 40 Gaoxin Fourth Road East Lake New Technology Development Zone Wuhan City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Xin'an County  Urban Construction & Development  Co., Ltd. ","No.77, Nanjing Road Hanguan Street Xin 'an County Luoyang Henan People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Xinfu (Nanning) Highway Construction Investment Co., Ltd.","No.15 1418 Comprehensive Buiding Standard Plant Lihui Science and Technology Industrial Park No.5 Hongsheng Road Nanning People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Xingshan Cements Co., Ltd.","Pingyikou Village Xiakou Town Xingshan County People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Xingye Jiayu Renewable Resources Co., Ltd.","No.6, Baiguoshu Village Gaotieling Town Jiayu County People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Xingye Renewable Resources Co., Ltd.","Huochang Road Huangjinqiao Economic and Technological Development Zone Macheng City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Xinjiang Investment & Development Co., Ltd.","China Construction Bank Building No.365 Guangdong Road Yizhou District Hami City Xinjiang People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yichang Construction Engineering Co., Ltd.","57-5 Development Avenue High-tech Zone Yichang Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yichang Wujiagang Commercial Concrete Co., Ltd.","East side of Gongnan South Village Wujiagang District Yichang City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yichang Yiting Commercial Concrete Co., Ltd.","Xiaoting District Yichang City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yicheng Cement Co., Ltd.","Banqiaodian Town Yicheng City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yicheng Mining Development Co., Ltd.","Banqiaodian town Yicheng City Hubei Province People's Repblic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yili Hydropower Development Co., Ltd.","No. 999 Yuhu Road, Kashagar Town Zhaosu County Yili Prefecture Xinjiang People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yingcheng Commercial Concrete Co., Ltd.","No.1, Tuanjie Road Langjun Town Yingcheng City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Yunmeng Urban Infrastructure Investment, Construction and Operation Project Co., Ltd.","No. 201, 2nd Road, Building 1 Sanhu Garden Jianshe East Road Yunmeng County Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Zhangjiajie Hydropower Development Co., Ltd.","Qiezhugan Dayong Bridge Zhangjiajie Hunan People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Zhejiang Mining Development Co., Ltd.","No. 13-1, Elephantmiao Qiaotou Dapu Village Jintang Town Dinghai District Zhoushan City Zhejiang Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Zhijiang Commercial Concrete Co., Ltd.","No. 2 road, Fairy Industrial Park Fairy Town Zhijiang City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Zhonggu Science and Technology Co., Ltd.","Building 10, New Factory Industrial Park No. 28, Fengshuo Road Qiaokou District Wuhan People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Gezhouba Zhongxiang Cement Co., Ltd.","Zhongshuang Road Shuanghe Town Zhongxiang City Hubei People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Global Alliance Trading Company, Inc. ","63 Benson Street, Monrovia","Liberia",,Ongoing,"2019-08-23T01:15:59Z","World Bank Group","Corrupt Practice"
"Global Technology Solutions, Inc","Chicago, Il 60611 USA","USA",,Ongoing,"2018-08-07T08:30:59Z","World Bank Group","Fraudulent Practice"
"Glocoms, Inc.","40 E. Chicago Avenue No. 200 Chicago, Il 60611 USA","USA",,Ongoing,"2018-08-07T08:26:59Z","World Bank Group","Fraudulent Practice"
"Golden Hall Services Co., Ltd.","#334AE1, Street 182, Sangkat Toek Laak III, Khan Toul Kork, Phnom Penh, Cambodia","Cambodia",,Ongoing,"2019-08-23T01:19:59Z","World Bank Group","Fraudulent Practice"
"Gonzalo Darwin Espinoza Guerrero","Calle Lanza Esquina Bolivar Cochabamba Bolivia","Bolivarian Republic of Venezuela","2021-08-23T03:45:59Z","2024-08-22T03:45:59Z","2022-01-21T04:45:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Grasco Company ","Sis no. 1293 Mampirir, Batignolles, Brazzaville","Democratic Republic of Congo",,Ongoing,"2016-02-25T02:14:59Z","World Bank Group","Fraudulent Practice"
"Groupe DEC S.A. / DEC Group Inc.","Carre 3775 Quartier Fidjrosse-Kpota, BP: 131 Godomey, Cotonou, Benin","Benin",,Ongoing,"2019-01-21T10:05:59Z","World Bank Group","Fraudulent Practice"
